TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	BambuGene4	308940.69407	335208.65911	526055.34956	352135.288	586264.57381	615048.48271
BambuTx2	BambuGene4	162399.84226	161340.61172	182672.51188	186765.71336	417829.83815	392165.91884
BambuTx3	BambuGene4	75429.43192	72270.80283	152817.8121	88056.69816	157135.04682	149816.97385
BambuTx4	BambuGene4	112313.03175	242401.92634	384232.32646	129492.30048	512834.54122	245330.6246
BambuTx5	BambuGene1	90	3544	1664	108	3648	148
BambuTx6	BambuGene9	17279.9681	16621.99989	23303.51305	19134.434	21620.19129	29649.23433
BambuTx7	BambuGene9	13331.77302	0	0	11969.65822	0	25866.77968
BambuTx8	BambuGene9	35408.90354	0	0	30372.56201	0	48315.08566
BambuTx9	BambuGene9	24782.39194	116.16013	161.71236	20772.81019	285.07407	28333.60973
BambuTx10	BambuGene9	28007.00891	139.3004	296.03379	23757.62973	376.3773	47522.7072
BambuTx11	BambuGene9	220594.91643	5542.04412	5405.18621	236555.13478	5616.12999	359764.58186
BambuTx12	BambuGene9	0.00023	3246.07612	7023.96371	0	8803.37168	0
BambuTx13	BambuGene9	7091.03783	18643.41933	11554.59087	8307.77108	35529.85566	18620.00154
BambuTx14	BambuGene20	4809	671	368	4908	766	13302
BambuTx15	SIRV3	5811.44428	510212.50101	779851.64261	6556.80949	821813.72679	12515.72559
BambuTx16	SIRV3	56632.72237	62906.43398	65579.47505	65412.64488	156918.09948	151582.04999
BambuTx17	BambuGene24	52	8252.23884	4443	62	11802	169.01196
BambuTx18	BambuGene24	11077	26299.76116	23915	13503	62790	28101.98804
BambuTx19	BambuGene27	41603.8142	101198	159039	47557.24709	156470.02821	74963.82745
BambuTx20	BambuGene27	783958.1858	48296	66176	914784.75291	141862.97179	1940018.17255
BambuTx21	BambuGene30	21659	2568	1477	23950	4005	62647
BambuTx22	BambuGene32	5757.84338	81151.45438	50192.14061	6537.91635	148967.75171	17002.75205
BambuTx23	BambuGene32	159.15662	21382.54562	11325.85939	165.08365	31142.24829	446.24795
BambuTx24	SIRV5	341131.686	491237.54418	762003.48768	378983.36715	840722.35804	709571.12213
BambuTx25	SIRV5	1072043.9505	86102.47363	133044.39964	1231973.64255	146846.58095	2172535.52376
BambuTx26	SIRV5	9724.98236	315088.93063	524968.84387	9422.17677	535775.85831	18152.70429
BambuTx27	SIRV5	3137.80634	286294.52255	341188.19683	3386.88954	381374.8115	5785.91936
BambuTx28	SIRV5	22015.57474	46826.52331	44408.06082	23639.92399	119980.37397	53890.73038
BambuTx29	SIRV6	6854.17909	427299.31474	699520.77675	7564.97082	758186.96116	13433.41394
BambuTx30	SIRV6	437396.33925	154893.80265	261747.59977	492737.67965	309213.1278	866138.03592
BambuTx31	SIRV6	33652.10397	3820.12347	2154.83429	34036.65461	5778.9172	89070.01267
BambuTx32	SIRV6	134195.80989	164015.89471	299239.30091	153034.91394	298728.71002	272906.84375
BambuTx33	SIRV6	40662.51121	80084.57537	81351.96301	44920.69999	211822.76649	103778.0725
BambuTx34	SIRV7	3896.43245	319987.42592	470597.6094	4343.45891	518986.43896	8157.99752
BambuTx35	BambuGene40	4	7	7	1	4	7
BambuTx36	BambuGene40	2	1	0	0	3	0
