TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	SIRV1	292646	320672	509063	337423	555729	583133
BambuTx2	SIRV1	71451	69117	147836	84366	148903	142024
BambuTx3	SIRV2	7083	18522	11510	8299	35310	18597
BambuTx4	SIRV3	5357	459653	702983	6142	732812	11600
BambuTx5	SIRV4	158	20500	10891	164	30124	443
BambuTx6	SIRV5	331563	477278	749417	370470	812023	689827
BambuTx7	SIRV5	9354	308842	520082	9124	523014	17155
BambuTx8	SIRV5	22001	46706	44337	23633	119772	53863
BambuTx9	SIRV6	6004	400371	661523	6792	703268	11826
BambuTx10	BambuGene4	4	7	7	1	4	7
BambuTx11	BambuGene4	2	1	0	0	3	0
BambuTx12	SIRV3	7028	510684	786845	7954	990730	15501
BambuTx13	BambuGene1	5	20	26	5	47	7
BambuTx14	BambuGene1	0	2	3	0	1	2
BambuTx15	BambuGene2	0	37	10	0	22	7
BambuTx16	BambuGene3	0	7	1	0	0	0
BambuTx17	BambuGene3	0	24	10	1	15	0
BambuTx18	BambuGene3	0	7	1	0	2	0
BambuTx19	BambuGene4	0	6	7	0	4	0
BambuTx20	BambuGene4	7	93	213	9	309	10
BambuTx21	BambuGene4	102	205	510	144	581	291
BambuTx22	BambuGene2	1	0	2	2	1	1
BambuTx23	BambuGene2	0	5	69	11817	88	1
BambuTx24	BambuGene2	0	2264	8062	0	7492	1962
BambuTx25	BambuGene3	0	0	7	0	2	0
BambuTx26	BambuGene3	0	2	7	0	1	0
BambuTx27	BambuGene3	0	4	9	0	3	0
BambuTx28	BambuGene4	0	0	7	0	0	0
BambuTx29	BambuGene1	0	0	0	3	0	0
BambuTx30	BambuGene3	0	11681	2108	0	17351	1376
SIRV102	SIRV1	112312	242395	384226	129490	512828	245327
SIRV106	SIRV1	162393	161323	182665	186758	417808	392148
SIRV109	SIRV1	90	3544	1664	108	3648	148
SIRV201	SIRV2	16154	17626	29179	18035	27792	27141
SIRV202	SIRV2	252044	5041	5583	262390	5504	394827
SIRV205	SIRV2	0	0	0	0	0	0
SIRV206	SIRV2	75	55	30	33	45	62
SIRV301	SIRV3	407761	250673	395724	460350	387235	825024
SIRV305	SIRV3	203	896	406	179	908	529
SIRV306	SIRV3	35039	72545	137316	35894	137026	62944
SIRV307	SIRV3	56594	62976	65568	65375	156874	151507
SIRV308	SIRV3	4809	671	368	4908	766	13302
SIRV309	SIRV3	11077	26302	23918	13503	62791	28102
SIRV310	SIRV3	52	8249	4440	62	11801	169
SIRV403	SIRV4	5716	77789	48256	6495	144085	16879
SIRV405	SIRV4	29	4114	2195	34	5701	107
SIRV406	SIRV4	21659	2568	1477	23950	4005	62647
SIRV409	SIRV4	41602	101198	159039	47557	156448	74961
SIRV410	SIRV4	783924	48296	66176	914780	141843	1939945
SIRV503	SIRV5	379	1548	797	355	1990	968
SIRV507	SIRV5	86	6491	2975	82	7245	211
SIRV508	SIRV5	1042026	83657	130848	1204333	141837	2112161
SIRV510	SIRV5	3028	280541	338015	3286	372441	5555
SIRV511	SIRV5	110	9850	5643	105	17708	284
SIRV512	SIRV5	5	8	12	3	13	1
SIRV602	SIRV6	33039	3726	2113	33873	5598	88530
SIRV605	SIRV6	29161	54047	79741	33493	120870	62863
SIRV606	SIRV6	2084	2306	1042	2276	2396	5343
SIRV607	SIRV6	982	1544	848	1115	2045	1848
SIRV608	SIRV6	2	8	12	5	8	0
SIRV609	SIRV6	1247	3366	1585	1265	3768	3424
SIRV610	SIRV6	27891	45301	71194	32676	77846	51717
SIRV611	SIRV6	18	1144	1199	30	1608	944
SIRV612	SIRV6	354088	87552	167266	408923	156660	698832
SIRV613	SIRV6	133238	163096	298364	152153	296938	270888
SIRV615	SIRV6	40506	79836	81196	44778	211028	103370
SIRV701	SIRV7	0	0	0	0	0	0
SIRV702	SIRV7	2209	140024	222292	2460	222004	4004
SIRV703	SIRV7	2859	253255	372117	3347	400475	6212
SIRV704	SIRV7	15	1472	819	10	1941	39
SIRV705	SIRV7	0	0	0	0	0	0
SIRV706	SIRV7	534186	520063	721686	605798	1412102	1342841
