TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	SIRV1	71451	69117	147836	84366	148903	142024
BambuTx2	SIRV4	158	20500	10891	164	30124	443
BambuTx3	SIRV5	3128	268728	459362	3811	446969	5963
BambuTx4	SIRV6	6004	400371	661523	6792	703268	11826
BambuTx5	BambuGene4	4	7	7	1	4	7
BambuTx6	BambuGene4	2	1	0	0	3	0
BambuTx7	BambuGene1	5	20	26	5	47	7
BambuTx8	BambuGene1	0	2	3	0	1	2
BambuTx9	BambuGene2	0	37	10	0	22	7
BambuTx10	BambuGene3	0	7	1	0	0	0
BambuTx11	BambuGene3	0	24	10	1	15	0
BambuTx12	BambuGene3	0	7	1	0	2	0
BambuTx13	BambuGene4	0	6	7	0	4	0
BambuTx14	BambuGene4	7	93	213	9	309	10
BambuTx15	BambuGene4	102	205	510	144	581	291
BambuTx16	BambuGene2	1	0	2	2	1	1
BambuTx17	BambuGene2	0	5	7	3	11	1
BambuTx18	BambuGene2	0	6	2	0	5	1
BambuTx19	BambuGene3	0	0	7	0	2	0
BambuTx20	BambuGene3	0	2	7	0	1	0
BambuTx21	BambuGene3	0	4	9	0	3	0
BambuTx22	BambuGene4	0	0	7	0	0	0
BambuTx23	BambuGene1	0	0	0	3	0	0
BambuTx24	BambuGene3	0	9	7	0	5	0
SIRV101	SIRV1	292646	320672	509063	337423	555729	583133
SIRV102	SIRV1	112312	242395	384226	129490	512828	245327
SIRV105	SIRV1	9510	1374	526	11287	1694	25422
SIRV106	SIRV1	162393	161323	182665	186758	417808	392148
SIRV107	SIRV1	3	2	3	1	7	18
SIRV108	SIRV1	0	10	1	0	3	2
SIRV109	SIRV1	45	3533	1656	57	3633	49
SIRV201	SIRV2	16154	17626	29179	18035	27792	27141
SIRV202	SIRV2	252044	5041	5583	262390	5504	394827
SIRV203	SIRV2	7083	18522	11510	8299	35310	18597
SIRV204	SIRV2	1163	1386	752	1295	2090	2250
SIRV205	SIRV2	0	0	0	0	0	0
SIRV206	SIRV2	0	0	0	0	0	0
SIRV301	SIRV3	407761	250673	395724	460350	387235	825024
SIRV302	SIRV3	5357	459653	702983	6142	732812	11600
SIRV304	SIRV3	7028	510684	786845	7954	990730	15501
SIRV305	SIRV3	203	896	406	179	908	529
SIRV306	SIRV3	35039	72545	137316	35894	137026	62944
SIRV307	SIRV3	56594	62976	65568	65375	156874	151507
SIRV308	SIRV3	4809	671	368	4908	766	13302
SIRV309	SIRV3	11077	26302	23918	13503	62791	28102
SIRV310	SIRV3	52	8249	4440	62	11801	169
SIRV311	SIRV3	0	0	0	0	0	0
SIRV403	SIRV4	2035	70208	44295	2337	133647	6237
SIRV404	SIRV4	3642	7356	3854	4118	10194	10517
SIRV405	SIRV4	29	4114	2195	34	5701	107
SIRV406	SIRV4	21659	2568	1477	23950	4005	62647
SIRV409	SIRV4	41602	101198	159039	47557	156448	74961
SIRV410	SIRV4	783924	48296	66176	914780	141843	1939945
SIRV501	SIRV5	15406	44108	59101	17017	56074	26088
SIRV503	SIRV5	379	1548	797	355	1990	968
SIRV504	SIRV5	19036	42762	57767	21604	59019	31742
SIRV505	SIRV5	331563	477278	749417	370470	812023	689827
SIRV506	SIRV5	3536	5191	3087	3428	9390	9059
SIRV507	SIRV5	86	6491	2975	82	7245	211
SIRV508	SIRV5	1042025	83657	130848	1204333	141833	2112155
SIRV509	SIRV5	22001	46706	44337	23633	119772	53863
SIRV510	SIRV5	2999	279813	337357	3248	371530	5457
SIRV511	SIRV5	102	9827	5632	100	17692	272
SIRV512	SIRV5	5	8	12	3	13	1
SIRV602	SIRV6	33039	3726	2113	33873	5598	88530
SIRV603	SIRV6	4333	375314	561183	4817	567446	9138
SIRV604	SIRV6	77490	77797	141455	87299	142613	152136
SIRV605	SIRV6	29125	53991	79704	33458	120780	62788
SIRV606	SIRV6	310	791	335	291	854	758
SIRV607	SIRV6	969	1503	821	1113	1986	1829
SIRV608	SIRV6	2	8	12	5	8	0
SIRV609	SIRV6	1247	3366	1585	1265	3768	3424
SIRV610	SIRV6	23558	45301	71194	27861	77846	43955
SIRV611	SIRV6	17	897	1038	14	924	260
SIRV612	SIRV6	0	0	0	0	0	0
SIRV613	SIRV6	133233	163090	298361	152150	296936	270881
SIRV614	SIRV6	72	281	140	65	320	132
SIRV615	SIRV6	39019	78905	80184	43422	208729	100387
SIRV616	SIRV6	1774	173	55	1985	201	4586
SIRV617	SIRV6	5	6	32	20	5	16
SIRV701	SIRV7	0	0	0	0	0	0
SIRV702	SIRV7	2209	140024	222292	2460	222004	4004
SIRV703	SIRV7	2859	253255	372117	3347	400475	6212
SIRV704	SIRV7	15	1472	819	10	1941	39
SIRV705	SIRV7	0	0	0	0	0	0
SIRV706	SIRV7	316514	304594	439813	356462	811373	777715
SIRV708	SIRV7	217679	215462	281879	249324	600710	565089
