TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	BambuGene4	292646	320672	509063	337423	555729	583133
BambuTx2	BambuGene4	162393	161323	182665	186758	417808	392148
BambuTx3	BambuGene4	71451	69117	147836	84366	148903	142024
BambuTx4	BambuGene4	112312	242395	384226	129490	512828	245327
BambuTx5	BambuGene1	90	3544	1664	108	3648	148
BambuTx6	BambuGene9	16036	13439	20649	17884	17609	26785
BambuTx7	BambuGene9	0	0	0	0	0	0
BambuTx8	BambuGene9	0	0	0	0	0	1
BambuTx9	BambuGene9	0	0	0	0	0	1
BambuTx10	BambuGene9	0	0	0	0	0	0
BambuTx11	BambuGene9	183875	4185	4228	201868	4160	292111
BambuTx12	BambuGene9	0	0	0	0	0	0
BambuTx13	BambuGene9	7083	18522	11510	8299	35310	18597
BambuTx14	BambuGene26	4809	671	368	4908	766	13302
BambuTx15	BambuGene20	0	0	0	0	0	0
BambuTx16	BambuGene20	94260	14509	22432	188039	16314	194655
BambuTx17	BambuGene20	5358	459653	702984	6142	732813	11600
BambuTx18	BambuGene20	56587	62860	65552	65374	156843	151502
BambuTx19	BambuGene20	0	0	0	0	1	0
BambuTx20	BambuGene29	2111	3483	4337	1347	3771	3693
BambuTx21	BambuGene30	52	8252	4443	62	11802	169
BambuTx22	BambuGene30	11077	26299	23915	13503	62790	28100
BambuTx23	BambuGene33	41602	101198	159039	47557	156448	74961
BambuTx24	BambuGene33	783924	48296	66176	914780	141843	1939945
BambuTx25	BambuGene36	21659	2568	1477	23950	4005	62647
BambuTx26	BambuGene38	5716	77802	48265	6495	144097	16879
BambuTx27	BambuGene38	158	20500	10891	164	30124	443
BambuTx28	BambuGene42	331563	477278	749417	370470	812023	689827
BambuTx29	BambuGene42	1042026	83657	130848	1204333	141837	2112161
BambuTx30	BambuGene42	9385	309021	520544	9140	523404	17424
BambuTx31	BambuGene42	3028	280541	338015	3286	372441	5555
BambuTx32	BambuGene42	22001	46706	44337	23633	119772	53863
BambuTx33	BambuGene63	6004	400371	661523	6792	703268	11826
BambuTx34	BambuGene63	384659	148540	249274	443870	290779	766328
BambuTx35	BambuGene63	33039	3726	2113	33873	5598	88530
BambuTx36	BambuGene63	133238	163096	298364	152153	296938	270888
BambuTx37	BambuGene63	40506	79836	81196	44778	211028	103370
BambuTx38	BambuGene79	2209	140024	222292	2460	222004	4004
BambuTx39	BambuGene79	2859	253255	372117	3347	400475	6212
BambuTx40	BambuGene79	116924	192106	325901	136381	339959	253634
BambuTx41	BambuGene76	4	7	7	1	4	7
BambuTx42	BambuGene76	2	1	0	0	3	0
BambuTx43	BambuGene79	316521	304606	439827	356477	811417	777758
BambuTx44	BambuGene79	217680	215463	281878	249324	600709	565086
BambuTx45	BambuGene20	7028	510640	786784	7954	990675	15500
BambuTx46	BambuGene29	0	3	0	0	0	0
BambuTx47	BambuGene29	0	2	3	0	1	2
BambuTx48	BambuGene62	0	37	10	0	22	7
BambuTx49	BambuGene62	0	2	0	0	2	0
BambuTx50	BambuGene75	0	7	1	0	0	0
BambuTx51	BambuGene75	0	24	10	1	15	0
BambuTx52	BambuGene75	0	7	1	0	2	0
BambuTx53	BambuGene76	0	6	7	0	4	0
BambuTx54	BambuGene76	7	93	213	9	309	10
BambuTx55	BambuGene76	102	205	510	144	581	291
BambuTx56	BambuGene29	1	3	3	0	9	1
BambuTx57	BambuGene62	1	0	2	2	1	1
BambuTx58	BambuGene62	0	5	69	11817	88	1
BambuTx59	BambuGene62	0	1941	7696	0	3617	1
BambuTx60	BambuGene75	0	0	7	0	2	0
BambuTx61	BambuGene75	0	2	7	0	1	0
BambuTx62	BambuGene75	0	4	9	0	3	0
BambuTx63	BambuGene76	0	0	7	0	0	0
BambuTx64	BambuGene29	0	0	0	3	0	0
BambuTx65	BambuGene29	3	13	30	4	48	6
BambuTx66	BambuGene29	0	0	1	1	3	0
BambuTx67	BambuGene62	0	0	0	0	4	0
BambuTx68	BambuGene62	0	0	1	0	3	1
BambuTx69	BambuGene75	0	11681	2108	0	17351	1376
BambuTx70	BambuGene60	0	31	10	9	26	46
