TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	BambuGene4	308940.68334	335204.60227	526048.04356	352131.71087	586252.43287	615038.10389
BambuTx2	BambuGene4	162399.85095	161340.63344	182672.52114	186765.72402	417829.86768	392165.96076
BambuTx3	BambuGene4	75429.42929	72274.80722	152825.07871	88060.25669	157147.12486	149827.292
BambuTx4	BambuGene4	112313.03642	242401.95707	384232.35658	129492.30842	512834.57459	245330.64335
BambuTx5	BambuGene1	90	3544	1664	108	3648	148
BambuTx6	BambuGene9	17583.58852	16822.0803	23558.81627	19347.60278	21896.27049	30521.46483
BambuTx7	BambuGene9	10094.73701	0	0	10001.83222	0	21215.55364
BambuTx8	BambuGene9	32784.30908	0	0	28691.08771	0	37244.49896
BambuTx9	BambuGene9	22394.80348	61.21464	95.62129	19154.83252	209.1152	15541.13802
BambuTx10	BambuGene9	27384.96531	57.46144	201.44715	22847.2826	313.55583	53069.17352
BambuTx11	BambuGene9	229162.46491	5646.27765	5553.60692	242519.49064	5726.25977	381860.81552
BambuTx12	BambuGene9	0	3076.83221	6780.21771	0	8553.8756	0
BambuTx13	BambuGene9	7091.1317	18645.13376	11555.29066	8307.87153	35531.92311	18619.3555
BambuTx14	BambuGene20	4809	671	368	4908	766	13302
BambuTx15	SIRV3	5812.88414	510501.73462	779937.93065	6557.67032	821950.11003	12519.14689
BambuTx16	BambuGene24	52	8252.23884	4443	62	11802	169.01196
BambuTx17	BambuGene24	11077	26299.76116	23915	13503	62790	28101.98804
BambuTx18	BambuGene27	41603.8142	101198	159039	47557.24709	156470.02821	74963.82745
BambuTx19	BambuGene27	783958.1858	48296	66176	914784.75291	141862.97179	1940018.17255
BambuTx20	BambuGene30	5757.84338	81151.45438	50192.14061	6537.91635	148967.75171	17002.75205
BambuTx21	BambuGene30	159.15662	21382.54562	11325.85939	165.08365	31142.24829	446.24795
BambuTx22	SIRV5	341138.54574	491234.52406	762000.10029	378986.93225	840717.08179	709589.42227
BambuTx23	SIRV5	1072036.96195	86101.20406	133043.281	1231970.02577	146843.93088	2172516.7949
