TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	BambuGene4	2	0	0	0	0	0
BambuTx2	BambuGene4	2	1	0	0	3	0
BambuTx3	BambuGene1	0	3	0	0	0	0
BambuTx4	BambuGene1	0	2	1	0	0	1
BambuTx5	BambuGene2	0	17	6	0	14	0
BambuTx6	BambuGene3	0	7	0	0	0	0
BambuTx7	BambuGene3	0	24	1	0	15	0
BambuTx8	BambuGene3	0	6	1	0	1	0
BambuTx9	BambuGene4	0	3	5	0	4	0
BambuTx10	BambuGene4	0	9	14	0	16	0
BambuTx11	BambuGene4	0	2	8	1	4	3
BambuTx12	BambuGene2	1	0	2	2	1	0
BambuTx13	BambuGene2	0	1	2	2	4	0
BambuTx14	BambuGene2	0	0	2	0	0	0
BambuTx15	BambuGene3	0	0	7	0	1	0
BambuTx16	BambuGene3	0	1	3	0	1	0
BambuTx17	BambuGene3	0	1	6	0	2	0
BambuTx18	BambuGene4	0	0	7	0	0	0
BambuTx19	BambuGene1	0	0	0	3	0	0
BambuTx20	BambuGene3	0	1	1	0	5	0
SIRV101	SIRV1	292563	320574	508970	337328	555598	582973
SIRV102	SIRV1	108945	236707	377005	126432	500023	239092
SIRV103	SIRV1	71432	69091	147812	84346	148868	141980
SIRV105	SIRV1	9356	1351	519	11118	1676	25106
SIRV106	SIRV1	162098	160944	182443	186512	417165	391498
SIRV107	SIRV1	0	0	0	0	0	0
SIRV108	SIRV1	0	9	1	0	3	0
SIRV109	SIRV1	44	3527	1644	57	3622	49
SIRV201	SIRV2	11356	8426	13201	13742	10013	19604
SIRV202	SIRV2	168000	2894	2910	187375	2415	268683
SIRV203	SIRV2	7080	18519	11509	8298	35302	18594
SIRV204	SIRV2	870	1142	587	1004	1656	1715
SIRV205	SIRV2	0	555.12037	0.00021	0	0.00033	0
SIRV206	SIRV2	38.3005	0	0.00076	0	0.00011	0
SIRV301	SIRV3	87863	4988	13188	115269	11402	183202
SIRV302	SIRV3	5356	459638	702968	6142	732800	11598
SIRV303	SIRV3	0	233055.48616	363177.91293	0	356106.21047	0
SIRV304	SIRV3	6790	491486	768215	7730	958611	15035
SIRV305	SIRV3	202	893	405	179	903	529
SIRV306	SIRV3	18701	41431	92259	23459	83993	38801
SIRV307	SIRV3	55908	62105	64965	64713	155358	149950
SIRV308	SIRV3	4779	667	365	4878	761	13237
SIRV309	SIRV3	11072	26295	23913	13498	62785	28098
SIRV310	SIRV3	50	8245	4436	62	11785	168
SIRV311	SIRV3	0	0	0	0	0	0
SIRV403	SIRV4	2026	70041	44098	2331	133252	6228
SIRV404	SIRV4	3630	7342	3835	4110	10168	10504
SIRV405	SIRV4	29	4112	2191	34	5700	107
SIRV406	SIRV4	21630	2457	1385	23925	4005	62043
SIRV408	SIRV4	158	20423	10839	164	30034	441
SIRV409	SIRV4	38647	96549	152712	45002	147042	70190
SIRV410	SIRV4	783813	48287	66174	914711	141831	1939715
SIRV501	SIRV5	13242	39907	52635	15185	49673	22630
SIRV502	SIRV5	2837	251644	431966	3546	419969	5490
SIRV503	SIRV5	0	0	0	0	0	0
SIRV504	SIRV5	17966	36899	16511	7106	46925	12475
SIRV505	SIRV5	306830	450526	709579	347634	767884	646448
SIRV506	SIRV5	3536	5190	3087	3428	9390	9059
SIRV507	SIRV5	86	6485	2964	82	7230	210
SIRV508	SIRV5	935743	77141	120633	1113263	130981	1935930
SIRV509	SIRV5	21836	46370	44108	23510	119135	53534
SIRV510	SIRV5	1577	189973	201441	1932	213564	3032
SIRV511	SIRV5	100	9825	5632	100	17690	272
SIRV512	SIRV5	8.57438	8.21462	12.70434	3.93713	13.24293	206.16828
SIRV601	SIRV6	5558	366798	628368	6355	648855	10971
SIRV602	SIRV6	32140	3593	1995	32885	5415	86515
SIRV603	SIRV6	4269	51527	88462	4722	422263	7601
SIRV604	SIRV6	56514	59218	113938	68855	107562	112999
SIRV605	SIRV6	27173	50352	73054	31481	111304	58440
SIRV606	SIRV6	310	791	335	291	854	758
SIRV607	SIRV6	958	1380	727	1099	1849	1813
SIRV608	SIRV6	0	0	0	0	0	0
SIRV609	SIRV6	1242	3337	1574	1257	3735	3406
SIRV610	SIRV6	22212	43065	67700	26602	72743	41554
SIRV611	SIRV6	17	871	469	14	885	25
SIRV612	SIRV6	217264.47887	0.01023	0.01459	267553.68794	0.03151	440703.21913
SIRV613	SIRV6	119630	150467	280734	140061	273695	247244
SIRV614	SIRV6	70	280	140	65	318	131
SIRV615	SIRV6	39006	78856	80125	43403	208632	100357
SIRV616	SIRV6	1771	173	55	1985	201	4579
SIRV617	SIRV6	5.96387	222.68183	168.09175	24.93096	666.91462	696.94292
SIRV618	SIRV6	0	1289.91861	610.28549	0	1283.97798	0
SIRV701	SIRV7	0.0077	0.00951	151518	0.00961	158493.5	0.0201
SIRV702	SIRV7	2041	131712	207734	2303	207951	3767
SIRV703	SIRV7	2579	235270	344967	3110	373583	5747
SIRV704	SIRV7	15	1454	800	10	1925	39
SIRV705	SIRV7	105808.9923	177443.99049	151518	125363.99039	158493.5	232873.9799
SIRV706	SIRV7	315905	303859	439158	355888	809718	776163
SIRV708	SIRV7	216577	213889	280767	248259	597750	562664
