TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	BambuGene4	57908.69386	51842.07015	54379.51696	58465.35125	48931.30242	53701.48261
BambuTx2	BambuGene4	30440.69096	24952.93793	18883.55282	31011.91496	34874.36595	34244.76531
BambuTx3	BambuGene4	14138.70029	11178.66672	15798.1773	14627.20489	13116.88543	13088.1215
BambuTx4	BambuGene4	21052.27442	37489.87975	39719.55921	21501.82898	42803.97828	21422.78993
BambuTx5	BambuGene1	16.86985	548.11487	172.014	17.93308	304.48202	12.92367
BambuTx6	SIRV2	1328.94736	2884.98046	1195.08129	1379.33403	2967.97405	1625.77618
BambuTx7	BambuGene9	901.4124	103.77683	38.04156	814.95898	63.93455	1161.55824
BambuTx8	SIRV3	1095.17237	78339.4986	80037.21589	1093.30415	68052.98381	1099.31928
BambuTx9	BambuGene13	7798.33521	15651.27769	16440.46584	7896.74116	13059.84384	6545.99694
BambuTx10	BambuGene13	146947.31335	7469.45698	6840.86461	151897.32063	11840.65907	169406.41183
BambuTx11	SIRV4	29.83276	3307.02345	1170.79713	27.41165	2599.30227	38.9673
BambuTx12	SIRV5	63934.44882	75878.16254	78734.53821	62921.29889	70101.83169	61951.34153
BambuTx13	SIRV5	1823.02822	48674.44423	54246.33133	1564.58655	44678.29195	1585.41675
BambuTx14	SIRV5	4125.57889	7233.01838	4588.60199	3924.49144	10004.33736	4704.3035
BambuTx15	SIRV6	1299.37382	66305.83135	72479.96058	1267.59214	63669.29078	1187.25564
BambuTx16	SIRV6	25171.72992	25375.39411	30936.2081	25419.52609	24942.80952	23844.01238
BambuTx17	BambuGene20	0.74977	1.08262	0.72362	0.16605	0.33386	0.61125
BambuTx18	BambuGene20	0.37489	0.15466	0	0	0.2504	0
BambuTx19	SIRV3	1318.42309	79016.39291	81366.94518	1321.62489	82725.67327	1354.36507
BambuTx20	BambuGene12	0.93721	3.0932	2.68772	0.83024	3.92288	0.61125
BambuTx21	BambuGene12	0	0.30932	0.31012	0	0.08347	0.17464
BambuTx22	BambuGene18	886.24857	124.88767	1.43519	0.55455	9.82387	1.08077
BambuTx23	BambuGene19	0	41785.56303	0.13331	0	687.4267	0
BambuTx24	BambuGene19	0	75.07558	21.42474	0.49814	63.5287	0
BambuTx25	BambuGene19	0	7539.39476	51800.2434	0	10525.627	0
BambuTx26	BambuGene20	0	0.92796	0.72362	0	0.33386	0
BambuTx27	BambuGene20	1.3121	14.38338	22.01862	1.49442	25.79083	0.87322
BambuTx28	BambuGene20	19.11917	31.70529	52.72064	23.91078	48.49344	25.41072
BambuTx29	BambuGene18	909.60277	1496.14707	4728.14396	0.60699	1864.90726	1234.32285
BambuTx30	BambuGene18	886.24857	1684.57776	96.82453	3586.39487	193.53081	1234.32285
