TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	BambuGene4	308940.62329	335200.35348	526047.38101	352101.08827	586246.08108	614981.75327
BambuTx2	BambuGene4	162399.89906	161340.65614	182672.52198	186765.81554	417829.88309	392166.18958
BambuTx3	BambuGene4	75429.41463	72279.00089	152825.73768	88090.71784	157153.44366	149883.3089
BambuTx4	BambuGene4	112313.06301	242401.98949	384232.35933	129492.37835	512834.59217	245330.74825
BambuTx5	BambuGene1	90	3544	1664	108	3648	148
BambuTx6	SIRV2	7089.88235	18653.70086	11560.77539	8306.88609	35559.306	18618.15798
BambuTx7	BambuGene9	4809	671	368	4908	766	13302
BambuTx8	SIRV3	5842.7019	506527.37338	774250.49282	6584.3029	815343.00321	12589.24824
BambuTx9	BambuGene13	41603.8142	101198	159039	47557.24709	156470.02821	74963.82745
BambuTx10	BambuGene13	783958.1858	48296	66176	914784.75291	141862.97179	1940018.17255
BambuTx11	SIRV4	159.15662	21382.54562	11325.85939	165.08365	31142.24829	446.24795
BambuTx12	SIRV5	341087.791	490612.8716	761648.86957	378936.53829	839890.25578	709457.9661
BambuTx13	SIRV5	9725.78443	314719.12412	524758.99243	9422.54883	535290.74988	18155.96751
BambuTx14	SIRV5	22009.8025	46767.23575	44388.44241	23634.8141	119861.9959	53873.01563
BambuTx15	SIRV6	6932.10864	428720.11176	701144.39355	7633.93294	762821.96388	13596.28302
BambuTx16	SIRV6	134290.19745	164072.1725	299265.46169	153086.2743	298839.87569	273058.24388
BambuTx17	BambuGene20	4	7	7	1	4	7
BambuTx18	BambuGene20	2	1	0	0	3	0
BambuTx19	SIRV3	7033.73577	510904.03523	787113.80328	7959.33921	991136.53958	15509.9965
BambuTx20	BambuGene12	5	20	26	5	47	7
BambuTx21	BambuGene12	0	2	3	0	1	2
BambuTx22	BambuGene18	4728.10156	807.49845	13.88347	3.33974	117.69987	12.37681
BambuTx23	BambuGene19	0	270177.00987	1.28956	0	8236.0613	0
BambuTx24	BambuGene19	0	485.42351	207.25502	3	761.1375	0
BambuTx25	BambuGene19	0	48748.20357	501096.44037	0	126107.56864	0
BambuTx26	BambuGene20	0	6	7	0	4	0
BambuTx27	BambuGene20	7	93	213	9	309	10
BambuTx28	BambuGene20	102	205	510	144	581	291
BambuTx29	BambuGene18	4852.69533	9673.78474	45738.31998	3.65552	22343.45945	14135.29002
BambuTx30	BambuGene18	4728.10156	10892.13949	936.6448	21598.66501	2318.69322	14135.29002
BambuTx31	BambuGene18	4728.10156	21435.57731	11098.15175	3.33974	34278.14747	3469.04315
BambuTx32	BambuGene19	0	6693.58212	118.05259	0	40.87793	0
BambuTx33	BambuGene19	0	10.93484	15271.76556	0	22211.16896	0
BambuTx34	BambuGene19	0	6.8968	17.69096	0	133803.54587	0
BambuTx35	BambuGene20	0	0	7	0	0	0
BambuTx36	BambuGene12	0	0	0	3	0	0
BambuTx37	BambuGene19	0	50856.94927	56011.50594	0	286747.63978	1376
BambuTx38	BambuGene16	0	31	10	9	26	46
SIRV201	SIRV2	20442.98018	19245.31811	30372.80622	22031.29425	30609.67333	34697.5655
SIRV202	SIRV2	318963.13578	5504.12167	5811.41839	320531.81583	6062.01936	504754.27196
SIRV205	SIRV2	0	905.85802	0	0	0	0
SIRV206	SIRV2	75.00169	55.00134	30	33.00383	45.00131	62.00455
SIRV301	SIRV3	442640.9802	278206.04181	434521.93611	491824.85276	436185.63801	892927.54702
SIRV305	SIRV3	203.07313	896.00459	406.00346	179.05246	908.00431	529.11448
SIRV306	SIRV3	38107.31836	80718.82391	151041.52908	38405.73132	154716.45038	68265.41992
SIRV307	SIRV3	56640.15384	63002.52825	65589.92902	65418.88323	156936.17128	151593.72911
SIRV309	SIRV3	11082.0368	26316.19284	23928.30623	13507.83812	62828.19323	28111.94474
SIRV403	SIRV4	5757.84338	81151.45438	50192.14061	6537.91635	148967.75171	17002.75205
SIRV406	SIRV4	21659	2568	1477	23950	4005	62647
SIRV503	SIRV5	379	1548.00932	797.00285	355.00092	1990.00515	968.00071
SIRV507	SIRV5	86.00006	6491.00575	2975.01122	82	7245.01739	211.00008
SIRV508	SIRV5	1071717.39057	85991.62161	132981.97643	1231672.95398	146698.7819	2171704.17064
SIRV510	SIRV5	3134.23143	285911.13185	341037.7051	3384.14388	380968.19399	5776.87933
SIRV602	SIRV6	33746.74037	3831.94702	2159.33183	34051.46686	5807.06165	89122.33832
SIRV605	SIRV6	29504.77351	55958.70686	80978.29009	33878.7106	126136.02558	63636.61199
SIRV608	SIRV6	2.29464	8.64268	12.47817	5.02702	8.8671	0
SIRV609	SIRV6	1247.07065	3371.24742	1589.37006	1265.09581	3776.03526	3427.16447
SIRV610	SIRV6	28502.4634	46334.40126	72549.5436	33354.50154	79725.68554	52842.7197
SIRV612	SIRV6	406982.03198	96377.62272	177721.11614	458021.96672	176317.91894	800948.22851
SIRV615	SIRV6	40691.31937	80110.14778	81378.01486	44939.02421	211918.56637	103838.41011
SIRV701	SIRV7	0.00745	0.01737	216314.08841	0.00913	233097.61667	0.01872
SIRV702	SIRV7	2689.42099	171574.52787	273267.25219	2916.45122	279317.32908	4768.41554
SIRV703	SIRV7	3467.06827	310076.54045	457066.72085	3942.47563	501552.05441	7343.49833
SIRV704	SIRV7	15	1472.0059	819.00118	10	1941.00714	39
SIRV705	SIRV7	160543.19707	259647.54772	216314.08841	177907.89285	233097.61667	336054.80048
SIRV706	SIRV7	534190.30622	520071.3607	721696.84896	605800.17118	1412120.37602	1342843.26693
