TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	SIRV1	292563	320574	508970	337328	555598	582973
BambuTx2	SIRV1	71432	69091	147812	84346	148868	141980
BambuTx3	SIRV1	108945	236707	377005	126432	500023	239092
BambuTx4	SIRV2	7080	18519	11509	8298	35302	18594
BambuTx5	SIRV3	5356	459638	702968	6142	732800	11598
BambuTx6	SIRV4	38647	96549	152712	45002	147042	70190
BambuTx7	SIRV4	158	20423	10839	164	30034	441
BambuTx8	SIRV5	306830	450526	709579	347634	767884	646448
BambuTx9	SIRV5	2837	251644	431966	3546	419969	5490
BambuTx10	SIRV5	21836	46370	44108	23510	119135	53534
BambuTx11	SIRV6	5560	366934	628519	6359	649058	10972
BambuTx12	BambuGene6	2	0	0	0	0	0
BambuTx13	BambuGene6	2	1	0	0	3	0
BambuTx14	SIRV3	0	491486	768215	0	958611	0
BambuTx15	BambuGene1	0	3	0	0	0	0
BambuTx16	BambuGene1	0	2	1	0	0	1
BambuTx17	BambuGene4	0	17	6	0	14	0
BambuTx18	BambuGene5	0	7	0	0	0	0
BambuTx19	BambuGene5	0	24	1	0	15	0
BambuTx20	BambuGene5	0	6	1	0	1	0
BambuTx21	BambuGene6	0	3	5	0	4	0
BambuTx22	BambuGene6	0	9	14	0	16	0
BambuTx23	BambuGene6	0	2	8	1	4	3
BambuTx24	BambuGene4	1	0	2	2	1	0
BambuTx25	BambuGene4	0	1	2	2	4	0
BambuTx26	BambuGene4	0	0	2	0	0	0
BambuTx27	BambuGene5	0	0	7	0	1	0
BambuTx28	BambuGene5	0	1	3	0	1	0
BambuTx29	BambuGene5	0	1	6	0	2	0
BambuTx30	BambuGene6	0	0	7	0	0	0
BambuTx31	BambuGene1	0	0	0	3	0	0
BambuTx32	BambuGene5	0	1	1	0	5	0
BambuTx33	BambuGene2	0	1	0	0	0	2
SIRV106	SIRV1	162098	160944	182443	186512	417165	391498
SIRV109	SIRV1	44	3527	1644	57	3622	49
SIRV201	SIRV2	11356	8426	13201	13742	10013	19604
SIRV202	SIRV2	168000	2894	2910	187375	2415	268683
SIRV205	SIRV2	0	687.54413	0	0	0	0
SIRV206	SIRV2	75	55	30	33	45	62
SIRV301	SIRV3	87908	4988	13188	115338	11402	183300
SIRV305	SIRV3	202	893	405	179	903	529
SIRV306	SIRV3	18701	41431	92259	23459	83993	38801
SIRV307	SIRV3	55908	62105	64965	64713	155358	149950
SIRV308	SIRV3	4779	667	365	4878	761	13237
SIRV309	SIRV3	11074	26295	23914	13500	62787	28098
SIRV403	SIRV4	2026	70041	44098	2331	133252	6228
SIRV406	SIRV4	21630	2457	1385	23925	4005	62043
SIRV410	SIRV4	783813	48287	66174	914711	141831	1939715
SIRV503	SIRV5	0	0	0	0	0	0
SIRV507	SIRV5	86	6485	2964	82	7230	210
SIRV508	SIRV5	935743	77141	120633	1113263	130981	1935930
SIRV510	SIRV5	1577	189973	201441	1932	213564	3032
SIRV511	SIRV5	100	9825	5632	100	17690	272
SIRV602	SIRV6	32149	3594	1995	32896	5417	86540
SIRV605	SIRV6	27209	50408	73091	31516	111393	58513
SIRV607	SIRV6	958	1380	727	1099	1849	1813
SIRV608	SIRV6	0.28966	0.53157	0.3684	0	0.61549	0
SIRV609	SIRV6	1242	3337	1574	1257	3735	3406
SIRV610	SIRV6	22212	43065	67700	26602	72743	41554
SIRV612	SIRV6	285317	74284	142902	346733	135208	573837
SIRV613	SIRV6	119675	150512	280797	140103	273761	247304
SIRV615	SIRV6	40131	79786	81137	44415	210929	102638
SIRV701	SIRV7	0.00423	0.01029	151518	0.00625	158493.5	0.01289
SIRV702	SIRV7	2041	131712	207734	2303	207951	3767
SIRV703	SIRV7	2579	235270	344967	3110	373583	5747
SIRV704	SIRV7	15	1454	800	10	1925	39
SIRV705	SIRV7	105808.99577	177443.98971	151518	125363.99375	158493.5	232873.98711
SIRV706	SIRV7	315915	303874	439172	355898	809768	776221
